# Gap-fill for one-syllable 101 euspellings missing from CMUdict.
# General American; inflections derived from CMUdict bases, rare stems
# are HAND-TRANSCRIBED best guesses pending manual review.
grapheme,ipa,gloss
qhirr,tʃɝ,chirr
qhoff,tʃʌf,chough
qhoffs,tʃʌfs,choughs
qhons,tʃɑnz,chons
qhooks,tʃʊks,chooks
qhoush,tʃaʊʃ,choush
qhout,tʃaʊt,chout
qhouts,tʃaʊts,chouts
qhub,tʃʌb,chub
qhubs,tʃʌbz,chubs
qhud,tʃud,chud
qhuds,tʃʌdz,chuds
qhuff,tʃʌf,chuff
qhur,tʃɝ,chur
qhurl,tʃɝl,churl
qhurls,tʃɝlz,churls
qhurr,tʃɝ,churr
qhym,tʃɪm,chimb
qhyms,tʃɪmz,chimbs
quahm,kwɑm,qualm
raunqh,ɹɔntʃ,raunch
reav,ɹiv,reive
reern,ɹiˈɝn,reearn
runqh,ɹʌntʃ,runch
ruwth,ɹaʊθ,rowth
sacq,sæk,sacque
sacqs,sæks,sacques
scranqh,skɹæntʃ,scranch
scriev,skɹiv,scrieve
scrooqh,skɹutʃ,scrooch
shauh,ʃɔ,shaugh
shauhs,ʃɔz,shaughs
sheav,ʃiv,sheave
sheev,ʃiv,sheeve
sheevs,ʃivz,sheeves
shriev,ʃɹiv,shrieve
shued,ʃud,shoed
shueing,ˈʃuɪŋ,shoeing
shuer,ˈʃuɚ,shoer
shuers,ˈʃuɚz,shoers
skink,skɪŋk,scink
skinks,skɪŋks,scinks
sleav,sliv,sleave
sleihts,slaɪts,sleights
smirqh,smɝtʃ,smirch
smooqh,smutʃ,smooch
soff,sʌf,sough
spriht,spɹaɪt,spright
sprihts,spɹaɪts,sprights
squinqh,skwɪntʃ,squinch
stedds,stɛdz,steads
steev,stiv,steeve
stelths,stɛlθs,stealths
thiev,θiv,thieve
torqd,tɔɹkt,torqued
truing,ˈtɹuɪŋ,trueing
turvs,tɝvz,turves
twelvs,twɛlvz,twelves
vruw,vɹaʊ,vrouw
weers,wiɹz,weirs
wenqh,wɛntʃ,wench
wharv,wɔɹv,wharve
wharvs,wɔɹvz,wharves
wihts,waɪts,wights
woodst,wʊdst,wouldst
wooms,wumz,wombs
wyqh,wɪtʃ,wych
yohkd,joʊkt,yolked
yorn,jɔɹn,yourn
yungth,jʌŋθ,youngth
yuwl,jaʊl,yowl
