grapheme,ipa,gloss
foreredd,ˌfɔɹˈɹɛd,foreread
misredd,ˌmɪsˈɹɛd,misread
outredd,ˌaʊtˈɹɛd,outread
proofredd,ˈpɹuːfˌɹɛd,proofread
reredd,ˌɹiːˈɹɛd,reread
# a stem s->z is a voicing change, unlike the -z verb ending, which follows the
# consonant before it (getz really is /ɡɛts/)
houze,haʊz,house
disuze,dɪsˈjuːz,disuse
overuze,ˌoʊvəɹˈjuːz,overuse
warehouze,ˈwɛɹˌhaʊz,warehouse
# a reduced -at is /-ɪt/, against the verb's /-eɪt/
primat,ˈpɹaɪmɪt,primate
primats,ˈpɹaɪmɪts,primates
# oo is the /uː/ of food or the /ʊ/ of put; this is the golfing sense
pooting,ˈpʊtɪŋ,putting
# "-th is voiceless and -the is voiced" (paper, The final th)
mouthe,maʊð,mouth
# "add only -d, unless the e in -ed is needed for correct pronunciation" (paper,
# Past tense ending). A bare -d adds no syllable, so a /-ɪd/ reading is the -ed
# adjective the split left on the traditional spelling.
belovd,bɪˈlʌvd,beloved
ragd,ɹæɡd,ragged
#
# --- retained spellings ------------------------------------------------------
# Added 10 Aug 2026 with the gen-pls.js change that emits a traditional spelling
# when the reform keeps it as one half of a split. Twenty-seven of the
# thirty-four route correctly on their own; these are the seven that do not, plus
# the words whose second reading is missing from the source entirely.
#
# refuse: the retained spelling is the NOUN (rubbish). The -ate heuristic reads a
# final e as the verb, which is right for graduate and wrong here.
refuse,ˈɹɛfjuːs,refuse
# subordinate/syndicate: the source tags only the verb, via the (V:) form, so the
# entry never registers as a heteronym and both spellings take the first reading.
subordinate,səˈbɔɹdənˌeɪt,subordinate
syndicate,ˈsɪndɪˌkeɪt,syndicate
# sow/suw and tear: sense labels in free text -- (seed)/(pig), "for teardrop" --
# which nothing can match to a spelling.
suw,saʊ,sow
tear,tɪɹ,tear
tears,tɪɹz,tears
# lead and live keep their traditional spelling for one sense, and the source has
# only the other sense's reading, so nothing can be derived for them at all.
lead,liːd,lead
live,laɪv,live
#
# --- the ea homographs, for episode 4 -----------------------------------------
# Same shape as barre: the traditional spelling is kept for one sense and only
# the other gets a new one, so the lone novel spelling inherited the retained
# sense's reading. read/redd is the clearest -- `redd` is the PAST tense and was
# being pronounced "reed". `lead` and `cleanly` have only the other reading in
# the source at all.
redd,rɛd,read
ledd,lɛd,lead
clenly,ˈklɛnli,cleanly
#
# --- barre: the ballet rail keeps its spelling, the guitar term gets barreh ---
# barre the rail is said "bar" and is a noun only; the guitar barre is /bæˈɹeɪ/,
# noun and verb. Only the guitar sense gets a new spelling, so the lone reading
# in the source is the rail's and every barreh form was inheriting it.
barreh,bæˈɹeɪ,barre
barrehz,bæˈɹeɪz,barres
barrehd,bæˈɹeɪd,barred
barrd,bɑɹd,barred
#
# --- manque: the roulette section vs the French manqué ------------------------
# manq is the noun, sections 1-18 on a roulette table. manqeh is the adjective,
# unfulfilled or missed, and keeps the French nasal vowel -- which Arpabet has no
# phoneme for, so the tilde is dropped on that side and it comes out as AA.
manq,mɑːŋk,manque
manqeh,mɑ̃ˈkeɪ,manque
#
# --- remaining noun/verb pairs with one reading between them ------------------
attashehs,ˌætəˈʃeɪz,attaches
attaqhez,əˈtætʃɪz,attaches
buffehs,bəˈfeɪz,buffets
buffetz,ˈbʌfɪts,buffets
deddbolts,ˈdɛdˌboʊlts,deadbolts
deddbolz,ˈdɛdˌboʊlts,deadbolts
hemolyses,hiˈmɑləsiːz,haemolyses
hemolyzez,ˈhiməˌlaɪzɪz,haemolyses
