# GENERATED by build/derive-ipa.py --enc 101 --syllables 0 (CMUdict, General American).
# grapheme = euspelling; ipa = headword pronunciation; gloss = headword.
grapheme,ipa,gloss
affectivly,əˈfɛktɪvliː,affectively
affirmativ,əˈfɜɹmətɪv,affirmative
affirmativly,əˈfɜɹmətɪvliː,affirmatively
affricat,ˈæfɹəkət,affricate
affricats,ˈæfɹəkəts,affricates
aforethoht,əˈfɔɹˌθɑt,aforethought
afterthoht,ˈæftəɹˌθɑt,afterthought
afterthohts,ˈæftəɹˌθɑts,afterthoughts
aggressiv,əˈɡɹɛsɪv,aggressive
aggressivly,əˈɡɹɛsɪvliː,aggressively
aggressivness,əˈɡɹɛsɪvnəs,aggressiveness
aggriev,əˈɡɹiːv,aggrieve
agribisness,ˈæɡɹəˌbɪznəs,agribusiness
ahedd,əˈhɛd,ahead
airfreiht,ˈɛɹˌfɹeɪt,airfreight
airhedd,ˈɛɹˌhɛd,airhead
airpuwer,ˈɛɹˌpaʊəɹ,airpower
airtiht,ˈɛɹˌtaɪt,airtight
aliht,əˈlaɪt,alight
allbeit,ɔlˈbiːɪt,albeit
alliterativ,əˈlɪtəɹətɪv,alliterative
allmihty,ɔlˈmaɪtiː,almighty
allmoste,ˈɔlˌmoʊst,almost
allreddy,ɔlˈɹɛdiː,already
allriht,ɑlˈɹaɪt,allright
allthoh,ˌɔlˈðoʊ,although
alltugether,ˌɔltəˈɡɛðəɹ,altogether
allusiv,əˈluːsɪv,allusive
alluw,əˈlaʊ,allow
alluwable,əˈlaʊəbəl,allowable
alluwance,əˈlaʊəns,allowance
alluwances,əˈlaʊənsɪz,allowances
alluwing,əˈlaʊɪŋ,allowing
allways,ˈɔlˌweɪz,always
alternativ,ɔlˈtɜɹnətɪv,alternative
alternativly,ɔlˈtɜɹnətɪvliː,alternatively
alternativs,ɔlˈtɜɹnətɪvz,alternatives
alternatly,ˈɔltəɹnətliː,alternately
amadu,ˈæməˌduː,amadou
ancor,ˈæŋkəɹ,anchor
ancorage,ˈæŋkəɹədʒ,anchorage
ancoring,ˈæŋkəɹɪŋ,anchoring
ancorman,ˈæŋkəɹˌmæn,anchorman
ancormen,ˈæŋkəɹˌmɛn,anchormen
anqhovies,ænˈtʃoʊviːz,anchovies
anqhovy,ænˈtʃoʊviː,anchovy
anser,ˈænsəɹ,answer
anserable,ˈænsəɹəbəl,answerable
ansering,ˈænsəɹɪŋ,answering
anticompetitiv,ˌæntɪkəmˈpɛtɪtɪv,anticompetitive
antiqe,ænˈtiːk,antique
antiqes,ænˈtiːks,antiques
anyhuw,ˈɛniːˌhaʊ,anyhow
anywun,ˈɛniːˌwʌn,anyone
apparatqhik,ˌæpəɹˈætʃɪk,apparatchik
apparatqhiks,ˌæpəɹˈætʃɪks,apparatchiks
appellat,əˈpɛlɪt,appellate
appointiv,əˈpɔɪntɪv,appointive
appreciativ,əˈpɹiːʃiːˌeɪtɪv,appreciative
appreciativly,əˈpɹiːʃiːˌeɪtɪvliː,appreciatively
apprehensiv,ˌæpɹɪˈhɛnsɪv,apprehensive
approaqh,əˈpɹoʊtʃ,approach
approaqhable,əˈpɹoʊtʃəbəl,approachable
approaqhing,əˈpɹoʊtʃɪŋ,approaching
approov,əˈpɹuːv,approve
approovable,əˈpɹuːvəbəl,approvable
approoval,əˈpɹuːvəl,approval
approovals,əˈpɹuːvəlz,approvals
approoving,əˈpɹuːvɪŋ,approving
approovingly,əˈpɹuːvɪŋliː,approvingly
appropriatly,əˈpɹoʊpɹiːɪtliː,appropriately
appropriatness,əˈpɹoʊpɹiːətnəs,appropriateness
approximatly,əˈpɹɑksəmətliː,approximately
aqhiev,əˈtʃiːv,achieve
aqhievable,əˈtʃiːvəbəl,achievable
aqhiever,əˈtʃiːvəɹ,achiever
aqhievers,əˈtʃiːvəɹz,achievers
aqhieving,əˈtʃiːvɪŋ,achieving
aqhievment,əˈtʃiːvmənt,achievement
aqhievments,əˈtʃiːvmənts,achievements
argumentativ,ˌɑɹɡjəˈmɛntətɪv,argumentative
armqhair,ˈɑɹmˌtʃɛɹ,armchair
armqhairs,ˈɑɹmˌtʃɛɹz,armchairs
arqhbishop,ˈɑɹtʃˌbɪʃəp,archbishop
arqhdiocese,ˈɑɹtʃˌdaɪəsəs,archdiocese
arqhduke,ˈɑɹtʃˌduːk,archduke
arqhenemy,ˈɑɹˌtʃɛnəmiː,archenemy
arqher,ˈɑɹtʃəɹ,archer
arqhery,ˈɑɹtʃəɹiː,archery
arqhing,ˈɑɹtʃɪŋ,arching
arqhly,ˈɑɹtʃliː,archly
arqhrival,ˈɑɹtʃˌɹaɪvəl,archrival
arqhrivals,ˈɑɹtʃˌɹaɪvəlz,archrivals
arqhway,ˈɑɹtʃˌweɪ,archway
arrowhedd,ˈæɹoʊˌhɛd,arrowhead
arrowhedds,ˈæɹoʊˌhɛdz,arrowheads
artiqhoke,ˈɑɹtəˌtʃoʊk,artichoke
artiqhokes,ˈɑɹtɪˌtʃoʊks,artichokes
assaultiv,əˈsɔltɪv,assaultive
assertiv,əˈsɜɹtɪv,assertive
assertivly,əˈsɜɹtɪvliː,assertively
assertivness,əˈsɜɹtɪvnəs,assertiveness
attaqh,əˈtætʃ,attach
attaqhing,əˈtætʃɪŋ,attaching
attaqhment,əˈtætʃmənt,attachment
attaqhments,əˈtætʃmənts,attachments
attentiv,əˈtɛntɪv,attentive
attentivly,əˈtɛntɪvliː,attentively
attentivness,əˈtɛntɪvnəs,attentiveness
attractiv,əˈtɹæktɪv,attractive
attractivly,əˈtɹæktɪvliː,attractively
attractivness,əˈtɹæktɪvnəs,attractiveness
authoritativ,əˈθɔɹəˌteɪtɪv,authoritative
authoritativly,əˌθɔɹəˈteɪtɪvliː,authoritatively
automotiv,ˌɔtəˈmoʊtɪv,automotive
aversiv,əˈvɜɹsəv,aversive
avuw,əˈvaʊ,avow
avuwedly,əˈvaʊədliː,avowedly
awsom,ˈɑsəm,awesome
awsomly,ˈɑsəmliː,awesomely
awstruck,ˈɑˌstɹʌk,awestruck
baccalaureat,ˌbækəˈlɔɹiːət,baccalaureate
backdorr,ˈbækˌdɔɹ,backdoor
backliht,ˈbæˌklaɪt,backlight
baerable,ˈbɛɹəbəl,bearable
baerably,ˈbɛɹəbliː,bearably
baerer,ˈbɛɹəɹ,bearer
baerers,ˈbɛɹəɹz,bearers
baering,ˈbɛɹɪŋ,bearing
baerings,ˈbɛɹɪŋz,bearings
bahking,ˈbɔkɪŋ,balking
bahky,ˈbɔkiː,balky
bahmy,ˈbɑmiː,balmy
bairish,ˈbɛɹɪʃ,bearish
bairishly,ˈbɛɹɪʃliː,bearishly
bairishness,ˈbɛɹɪʃnəs,bearishness
baluqhi,bəˈluːtʃiː,baluchi
baqhelor,ˈbætʃələɹ,bachelor
baqhelors,ˈbætʃləɹz,bachelors
bargan,ˈbɑɹɡən,bargain
barganer,ˈbɑɹɡɪnəɹ,bargainer
barganers,ˈbɑɹɡɪnəɹz,bargainers
barganing,ˈbɑɹɡɪnɪŋ,bargaining
baroqe,bəɹˈoʊk,baroque
beaqhball,ˈbiːtʃˌbɑl,beachball
beaqhballs,ˈbiːtʃˌbɑlz,beachballs
beaqhcohmer,ˈbiːtʃˌkoʊməɹ,beachcomber
beaqhcohmers,ˈbiːtʃˌkoʊməɹz,beachcombers
beaqhfront,ˈbiːtʃfɹɑnt,beachfront
beaqhfronts,ˈbiːtʃfɹɑnts,beachfronts
beaqhhedd,ˈbiːtʃˌhɛd,beachhead
beaqhhedds,ˈbiːtʃˌhɛdz,beachheads
beaqhing,ˈbiːtʃɪŋ,beaching
beaqhy,ˈbiːtʃiː,beachy
becahm,bɪˈkɑm,becalm
becom,bɪˈkʌm,become
bedqhamber,ˈbɛdˌtʃeɪmbəɹ,bedchamber
bedspredd,ˈbɛdˌspɹɛd,bedspread
beduin,ˈbɛdoʊən,bedouin
beduins,ˈbɛdoʊənz,bedouins
beefstaek,ˈbiːfˌsteɪk,beefsteak
beeqhwood,ˈbiːtʃˌwʊd,beechwood
beeqhy,ˈbiːtʃiː,beechy
befrend,bɪˈfɹɛnd,befriend
befrended,bɪˈfɹɛndɪd,befriended
befrending,bɪˈfɹɛndɪŋ,befriending
beghile,bɪˈɡaɪl,beguile
beghiled,bɪˈɡaɪld,beguiled
beghiling,bɪˈɡaɪlɪŋ,beguiling
behaff,bɪˈhæf,behalf
behedd,bɪˈhɛd,behead
behedded,bɪˈhɛdɪd,beheaded
behedding,bɪˈhɛdɪŋ,beheading
beheddings,bɪˈhɛdɪŋz,beheadings
behoov,bɪˈhuːv,behoove
behynd,bɪˈhaɪnd,behind
behynds,bɪˈhaɪndz,behinds
beleagher,bɪˈliːɡəɹ,beleaguer
beleaghering,bɪˈliːɡəɹɪŋ,beleaguering
believ,bɪˈliːv,believe
bellfluwer,ˈbɛlˌflaʊəɹ,bellflower
bellfluwers,ˈbɛlˌflaʊəɹz,bellflowers
belqher,ˈbɛltʃəɹ,belcher
belqhing,ˈbɛltʃɪŋ,belching
beniht,biːˈnaɪt,benight
benihted,bɪˈnaɪtɪd,benighted
benihting,biːˈnaɪtɪŋ,benighting
benqher,ˈbɛntʃəɹ,bencher
benqhers,ˈbɛntʃəɹz,benchers
benqhmark,ˈbɛntʃˌmɑɹk,benchmark
bequeathe,bɪˈkwiːθ,bequeath
bereav,bəɹˈiːv,bereave
bereavment,bəɹˈiːvmənt,bereavement
beseeqh,biːˈsiːtʃ,beseech
beseeqhing,biːˈsiːtʃɪŋ,beseeching
beutician,ˈbjuːˌtɪʃən,beautician
beuties,ˈbjuːtiːz,beauties
beutiful,ˈbjuːtəfəl,beautiful
beutifully,ˈbjuːtəfliː,beautifully
beutify,ˈbjuːtɪˌfaɪ,beautify
beuty,ˈbjuːtiː,beauty
bigiyes,ˈbɪˌɡaɪz,bigeyes
bildable,ˈbɪldəbəl,buildable
bilder,ˈbɪldəɹ,builder
bilders,ˈbɪldəɹz,builders
bilding,ˈbɪldɪŋ,building
bildings,ˈbɪldɪŋz,buildings
bildup,ˈbɪlˌdʌp,buildup
bildups,ˈbɪlˌdʌps,buildups
birqher,ˈbɜɹtʃəɹ,bircher
birthriht,ˈbɜɹˌθɹaɪt,birthright
birthrihts,ˈbɜɹˌθɹaɪts,birthrights
bisied,ˈbɪziːd,busied
bisier,ˈbɪziːəɹ,busier
bisiest,ˈbɪziːəst,busiest
bisily,ˈbɪzəliː,busily
bisness,ˈbɪznəs,business
bisnesslike,ˈbɪznɪˌslaɪk,businesslike
bisnessman,ˈbɪznəˌsmæn,businessman
bisnessmen,ˈbɪznɪˌsmɛn,businessmen
bisnesspeeple,ˈbɪznəˌspiːpəl,businesspeople
bisnessperson,ˈbɪznəˌspɜɹsən,businessperson
bisnesswimen,ˈbɪznəˌswoʊmən,businesswomen
bisnesswoman,ˈbɪznɪˌswʊmən,businesswoman
bisy,ˈbɪziː,busy
bivalv,ˈbaɪˌvælv,bivalve
bivalvs,ˈbaɪˌvælvz,bivalves
bivuac,ˈbɪvwæk,bivouac
bleaqher,ˈbliːtʃəɹ,bleacher
bleaqhers,ˈbliːtʃəɹz,bleachers
bleaqhing,ˈbliːtʃɪŋ,bleaching
blihted,ˈblaɪtɪd,blighted
blockhedd,ˈblɑkˌhɛd,blockhead
blockhedds,ˈblɑkˌhɛdz,blockheads
blowtorqh,ˈbloʊˌtɔɹtʃ,blowtorch
blowtorqhes,ˈbloʊˌtɔɹtʃəz,blowtorches
bluddbath,ˈblʌdˌbæθ,bloodbath
bludded,ˈblʌdɪd,blooded
bluddhound,ˈblʌdhaʊnd,bloodhound
bluddhounds,ˈblʌdhaʊndz,bloodhounds
bluddied,ˈblʌdiːd,bloodied
bluddier,ˈblʌdiːəɹ,bloodier
bluddiest,ˈblʌdiːəst,bloodiest
bluddless,ˈblʌdləs,bloodless
bluddletting,ˈblʌdˌlɛtɪŋ,bloodletting
bluddline,ˈblʌdˌlaɪn,bloodline
bluddlines,ˈblʌdˌlaɪnz,bloodlines
bluddshed,ˈblʌdˌʃɛd,bloodshed
bluddstain,ˈblʌdˌsteɪn,bloodstain
bluddstains,ˈblʌdˌsteɪnz,bloodstains
bluddstone,ˈblʌdˌstoʊn,bloodstone
bluddstream,ˈblʌdˌstɹiːm,bloodstream
bluddsucker,ˈblʌdˌsʌkəɹ,bloodsucker
bluddsuckers,ˈblʌdˌsʌkəɹz,bloodsuckers
bluddsucking,ˈblʌdˌsʌkɪŋ,bloodsucking
bluddthirsty,ˈblʌdˌθɜɹstiː,bloodthirsty
bluddy,ˈblʌdiː,bloody
bluing,ˈbluːɪŋ,blueing
bluish,ˈbluːɪʃ,blueish
blujjen,ˈblʌdʒən,bludgeon
blujjening,ˈblʌdʒənɪŋ,bludgeoning
blynded,ˈblaɪndɪd,blinded
blynder,ˈblaɪndəɹ,blinder
blynders,ˈblaɪndəɹz,blinders
blyndfold,ˈblaɪndˌfoʊld,blindfold
blyndfolded,ˈblaɪndˌfoʊldɪd,blindfolded
blynding,ˈblaɪndɪŋ,blinding
blyndly,ˈblaɪndliː,blindly
blyndness,ˈblaɪndnəs,blindness
blyndside,ˈblaɪndˌsaɪd,blindside
blyndsided,ˈblaɪndˌsaɪdɪd,blindsided
boardwahk,ˈbɔɹˌdwɔk,boardwalk
boardwahks,ˈbɔɹˌdwɔks,boardwalks
boatsan,ˈboʊtsweɪn,boatswain
bodygard,ˈbɑdiːˌɡɑɹd,bodyguard
bodygards,ˈbɑdiːˌɡɑɹdz,bodyguards
bohten,ˈbɔtən,boughten
bookbynder,ˈbʊkˌbaɪndəɹ,bookbinder
bookbynders,ˈbʊkˌbaɪndəɹz,bookbinders
bookshelvs,ˈbʊkˌʃɛlvz,bookshelves
boomtuwn,ˈbuːmˌtaʊn,boomtown
bootiqe,buːˈtiːk,boutique
bootiqes,buːˈtiːks,boutiques
booy,ˈbuːiː,buoy
booyancy,ˈbɔɪənsiː,buoyancy
booyant,ˈbɔɪənt,buoyant
booying,ˈbɔɪɪŋ,buoying
bothersom,ˈbɑðəɹsəm,bothersome
boyfrend,ˈbɔɪˌfɹɛnd,boyfriend
boyfrends,ˈbɔɪˌfɹɛndz,boyfriends
braekable,ˈbɹeɪkəbəl,breakable
braekage,ˈbɹeɪkɪdʒ,breakage
braekaway,ˈbɹeɪkəˌweɪ,breakaway
braekduwn,ˈbɹeɪkˌdaʊn,breakdown
braekduwns,ˈbɹeɪkˌdaʊnz,breakdowns
braeker,ˈbɹeɪkəɹ,breaker
braekers,ˈbɹeɪkəɹz,breakers
braekeven,ˈbɹeɪˌkiːvən,breakeven
braekfast,ˈbɹɛkfəst,breakfast
braeking,ˈbɹeɪkɪŋ,breaking
braekneck,ˈbɹeɪkˌnɛk,breakneck
braekout,ˈbɹeɪˌkaʊt,breakout
braekouts,ˈbɹeɪˌkaʊts,breakouts
braekthruh,ˈbɹeɪkˌθɹuː,breakthrough
braekthruhs,ˈbɹeɪkˌθɹuːz,breakthroughs
braekup,ˈbɹeɪˌkʌp,breakup
braekups,ˈbɹeɪkəps,breakups
braekwater,ˈbɹeɪˌkwɔtəɹ,breakwater
brainpuwer,ˈbɹeɪnˌpaʊəɹ,brainpower
brainqhyld,ˈbɹeɪnˌtʃaɪld,brainchild
branqhing,ˈbɹæntʃɪŋ,branching
branqhlet,ˈbɹæntʃlət,branchlet
branqhlets,ˈbɹæntʃləts,branchlets
breaqhing,ˈbɹiːtʃɪŋ,breaching
breddbasket,ˈbɹɛdˌbæskət,breadbasket
breddbox,ˈbɹɛdˌbɑks,breadbox
bredded,ˈbɹɛdɪd,breaded
breddfruht,ˈbɹɛdˌfɹuːt,breadfruit
bredding,ˈbɹɛdɪŋ,breading
breddwinner,ˈbɹɛˌdwɪnəɹ,breadwinner
breddwinners,ˈbɹɛˌdwɪnəɹz,breadwinners
breddy,ˈbɹɛdiː,bready
breeqhing,ˈbɹiːtʃɪŋ,breeching
brested,ˈbɹɛstəd,breasted
brestfed,ˈbɹɛstˌfɛd,breastfed
brestfeed,ˈbɹɛstfiːd,breastfeed
brestfeeding,ˈbɹɛstfiːdɪŋ,breastfeeding
bresting,ˈbɹɛstɪŋ,breasting
brestplate,ˈbɹɛstˌpleɪt,breastplate
brethless,ˈbɹɛθləs,breathless
brethlessly,ˈbɹɛθləsliː,breathlessly
brethtaking,ˈbɹɛθˌteɪkɪŋ,breathtaking
brethtakingly,ˈbɹɛθˌteɪkɪŋliː,breathtakingly
brethy,ˈbɹɛθiː,breathy
bridgehedd,ˈbɹɪdʒˌhɛd,bridgehead
brihten,ˈbɹaɪtən,brighten
brihtening,ˈbɹaɪtənɪŋ,brightening
brihter,ˈbɹaɪtəɹ,brighter
brihtest,ˈbɹaɪtəst,brightest
brihtly,ˈbɹaɪtliː,brightly
brihtness,ˈbɹaɪtnəs,brightness
broaqhing,ˈbɹoʊtʃɪŋ,broaching
broddband,ˈbɹɔdˌbænd,broadband
broddcast,ˈbɹɔdˌkæst,broadcast
broddcaster,ˈbɹɔdˌkæstəɹ,broadcaster
broddcasters,ˈbɹɔdˌkæstəɹz,broadcasters
broddcasting,ˈbɹɔdˌkæstɪŋ,broadcasting
brodden,ˈbɹɔdən,broaden
broddening,ˈbɹɔdənɪŋ,broadening
brodder,ˈbɹɔdəɹ,broader
broddest,ˈbɹɔdɪst,broadest
broddly,ˈbɹɔdliː,broadly
broddside,ˈbɹɔdˌsaɪd,broadside
broddsided,ˈbɹɔdˌsaɪdɪd,broadsided
broddsord,ˈbɹɔdˌsɔɹd,broadsword
broddway,ˈbɹɔˌdweɪ,broadway
bruhaha,ˈbɹuːhɑhɑ,brouhaha
bruham,ˈbɹuːɡəm,brougham
brusing,ˈbɹuːzɪŋ,bruising
bruwbeat,ˈbɹaʊˌbiːt,browbeat
bruwner,ˈbɹaʊnəɹ,browner
bruwnest,ˈbɹaʊnɪst,brownest
bruwnfield,ˈbɹaʊnˌfiːld,brownfield
bruwnfields,ˈbɹaʊnˌfiːldz,brownfields
bruwnie,ˈbɹaʊniː,brownie
bruwnies,ˈbɹaʊniːz,brownies
bruwning,ˈbɹaʊnɪŋ,browning
bruwnish,ˈbɹaʊnɪʃ,brownish
bruwnout,ˈbɹaʊˌnaʊt,brownout
bruwnouts,ˈbɹaʊˌnaʊts,brownouts
bruwnstone,ˈbɹaʊnˌstoʊn,brownstone
bruwser,ˈbɹaʊzəɹ,browser
bruwsers,ˈbɹaʊzəɹz,browsers
bruwsing,ˈbɹaʊzɪŋ,browsing
buckiye,ˈbʌˌkaɪ,buckeye
buckiyes,ˈbʌˌkaɪz,buckeyes
bugiye,ˈbʌˌɡaɪ,bugeye
bugiyed,ˈbʌˌɡaɪd,bugeyed
bulevard,ˈbʊləˌvɑɹd,boulevard
bulevards,ˈbʊləˌvɑɹdz,boulevards
bulkhedd,ˈbʌlkˌhɛd,bulkhead
bulkhedds,ˈbʌlkˌhɛdz,bulkheads
bullfiht,ˈbʊlˌfaɪt,bullfight
bullfihter,ˈbʊlˌfaɪtəɹ,bullfighter
bullfihting,ˈbʊlˌfaɪtɪŋ,bullfighting
bullfihts,ˈbʊlˌfaɪtz,bullfights
bullhedd,ˈbʊlˌhɛd,bullhead
bullhedds,ˈbʊlˌhɛdz,bullheads
bunqhing,ˈbʌntʃɪŋ,bunching
bunqhy,ˈbʌntʃiː,bunchy
burdensom,ˈbɜɹdənsəm,burdensome
burjen,ˈbɜɹdʒən,burgeon
burjening,ˈbɜɹdʒənɪŋ,burgeoning
burlesq,bəɹˈlɛsk,burlesque
burrial,ˈbɛɹiːəl,burial
burrials,ˈbɛɹiːəlz,burials
burry,ˈbɛɹiː,bury
burrying,ˈbɛɹiːɪŋ,burying
buwel,ˈbaʊəl,bowel
buwer,ˈbaʊəɹ,bower
buwery,ˈbaʊəɹiː,bowery
buwsing,ˈbaʊzɪŋ,bowsing
bygon,ˈbaɪˌɡɔn,bygone
bygons,ˈbaɪˌɡɔnz,bygones
bynder,ˈbaɪndəɹ,binder
bynders,ˈbaɪndəɹz,binders
bynding,ˈbaɪndɪŋ,binding
caciqe,kəˈsiːk,cacique
cahmer,ˈkɑməɹ,calmer
cahmest,ˈkɑməst,calmest
cahming,ˈkɑmɪŋ,calming
cahmly,ˈkɑmliː,calmly
cahmness,ˈkɑmnəs,calmness
candleliht,ˈkændəlˌlaɪt,candlelight
canue,kəˈnuː,canoe
canued,kəˈnuːd,canoed
canuing,kəˈnuːɪŋ,canoeing
canuist,kəˈnuːəst,canoeist
captiv,ˈkæptɪv,captive
captivs,ˈkæptɪvz,captives
caribu,ˈkɛɹɪˌbuː,caribou
caroqhe,kəɹˈoʊtʃ,caroche
cartwriht,ˈkɑɹˌtɹaɪt,cartwright
catacohm,ˈkætəˌkoʊm,catacomb
catacohms,ˈkætəˌkoʊmz,catacombs
catwahk,ˈkæˌtwɑk,catwalk
cauhking,ˈkɔkɪŋ,caulking
causativ,ˈkɑzətɪv,causative
cavving,ˈkævɪŋ,calving
ceeling,ˈsiːlɪŋ,ceiling
ceelings,ˈsiːlɪŋz,ceilings
celacanth,ˈsiːləˌkænθ,coelacanth
celibat,ˈsɛlɪbət,celibate
certan,ˈsɜɹtən,certain
certanly,ˈsɜɹtənliː,certainly
certanties,ˈsɜɹtəntiːz,certainties
certanty,ˈsɜɹtəntiː,certainty
choire,ˈkwaɪəɹ,choir
ciliats,ˈsɪliːəts,ciliates
clampduwn,ˈklæmpˌdaʊn,clampdown
clandestin,klænˈdɛstɪn,clandestine
clandestinly,klænˈdɛstənliː,clandestinely
clenliness,ˈklɛnliːnɪs,cleanliness
clenqher,ˈklɛntʃəɹ,clencher
clenser,ˈklɛnzəɹ,cleanser
clensers,ˈklɛnzəɹz,cleansers
clensing,ˈklɛnzɪŋ,cleansing
climat,ˈklaɪmət,climate
climats,ˈklaɪməts,climates
clinqher,ˈklɪntʃəɹ,clincher
clinqhing,ˈklɪntʃɪŋ,clinching
clozeduwn,ˈkloʊzˌdaʊn,closedown
clozeduwns,ˈkloʊzˌdaʊnz,closedowns
clozing,ˈkloʊzɪŋ,closing
clozings,ˈkloʊzɪŋz,closings
cluwning,ˈklaʊnɪŋ,clowning
clymer,ˈklaɪməɹ,climber
clymers,ˈklaɪməɹz,climbers
clyming,ˈklaɪmɪŋ,climbing
coaqhing,ˈkoʊtʃɪŋ,coaching
coaqhman,ˈkoʊtʃmən,coachman
cockiyed,ˈkɑˌkaɪd,cockeyed
cockroaqh,ˈkɑˌkɹoʊtʃ,cockroach
cockroaqhes,ˈkɑˌkɹoʊtʃɪz,cockroaches
codebraeker,ˈkoʊdˌbɹeɪkəɹ,codebreaker
codebraekers,ˈkoʊdˌbɹeɪkəɹz,codebreakers
coerciv,koʊˈɜɹsɪv,coercive
coffing,ˈkɑfɪŋ,coughing
cognitiv,ˈkɑɡnɪtɪv,cognitive
cohesiv,koʊˈhiːsɪv,cohesive
cohesivly,koʊˈhiːsɪvliː,cohesively
cohesivness,koʊˈhiːsɪvnəs,cohesiveness
cohmer,ˈkoʊməɹ,comber
cohming,ˈkoʊmɪŋ,combing
cohoste,ˈkoʊˌhoʊst,cohost
collaborativ,kəˈlæbəɹˌeɪtɪv,collaborative
colleag,ˈkɑliːɡ,colleague
colleags,ˈkɑliːɡz,colleagues
collectiv,kəˈlɛktɪv,collective
collectivly,kəˈlɛktɪvliː,collectively
collectivs,kəˈlɛktɪvz,collectives
collegiat,kəˈliːdʒɪt,collegiate
collusiv,kəˈluːsɪv,collusive
colorblynd,ˈkʌləɹˌblaɪnd,colorblind
colords,ˈkɑləɹədz,coloreds
comback,ˈkʌmˌbæk,comeback
combacks,ˈkʌmˌbæks,comebacks
combativ,kəmˈbætɪv,combative
combativness,kəmˈbætɪvnəs,combativeness
comduwn,ˈkʌmˌdaʊn,comedown
comly,ˈkʌmliː,comely
commemorativ,kəˈmɛmɹətɪv,commemorative
commensurat,kəˈmɛnsəɹət,commensurate
commensuratly,kəˈmɛnsəɹətliː,commensurately
commonwelth,ˈkɑmənˌwɛlθ,commonwealth
communicativ,kəˈmjuːnəkətɪv,communicative
communiqeh,kəˈmjuːnəˌkeɪ,communique
communiqehs,kəˌmjuːnɪˈkeɪz,communiques
comparativ,kəmˈpɛɹətɪv,comparative
comparativly,kəmˈpɛɹətɪvliː,comparatively
compassionat,kəmˈpæʃənət,compassionate
compassionatly,kəmˈpæʃənətliː,compassionately
competitiv,kəmˈpɛtətɪv,competitive
competitivly,kəmˈpɛtɪtɪvliː,competitively
competitivness,kəmˈpɛtɪtɪvnɪs,competitiveness
composit,kəmˈpɑzət,composite
composte,ˈkɑmpoʊst,compost
comprehensiv,ˌkɑmpɹiːˈhɛnsɪv,comprehensive
comprehensivly,ˌkɑmpɹɪˈhɛnsɪvliː,comprehensively
compulsiv,kəmˈpʌlsɪv,compulsive
compulsivly,kəmˈpʌlsɪvliː,compulsively
comrad,ˈkɑmˌɹæd,comrade
comrads,ˈkɑmˌɹædz,comrades
